1	1	0	1	1.36163
5	4	1	3	1.67874
15	8	3	5	1.64258
20	11	5	0	1.3926
1	1	0	1	1.66654
5	4	1	3	1.6929
13	7	3	2	1.60232
10	6	2	4	1.66961
17	9	4	3	1.50818
14	7	3	2	1.75539
10	6	2	4	1.66944
18	10	4	5	1.52185
19	11	5	0	0.495757
2	2	0	2	1.66913
8	5	2	2	0.332929
11	6	2	4	1.58303
18	10	4	5	1.55209
19	11	5	0	0.429884
1	1	0	1	1.50889
5	4	1	3	1.66272
15	8	3	5	1.60429
20	11	5	0	1.37772
2	2	0	2	1.68097
8	5	2	2	0.291599
7	5	2	2	1.57619
11	6	2	4	1.6245
17	9	4	3	1.5706
16	8	3	5	2.30527
20	11	5	0	0
1	1	0	1	0.938971
4	3	1	1	1.70654
6	4	1	3	0
15	8	3	5	1.6667
20	11	5	0	1.40509
2	2	0	2	1.67521
12	6	2	4	1.91911
17	9	4	3	1.34617
14	7	3	2	1.50831
10	6	2	4	1.6659
17	9	4	3	1.528
16	8	3	5	2.02359
20	11	5	0	0
1	1	0	1	0.997669
5	4	1	3	1.6991
13	7	3	2	1.64625
10	6	2	4	1.65768
18	10	4	5	1.49925
19	11	5	0	0.519907
2	2	0	2	1.67195
8	5	2	2	0.338562
11	6	2	4	1.5838
17	9	4	3	1.55206
14	7	3	2	0.957996
10	6	2	4	1.67205
17	9	4	3	1.52997
16	8	3	5	2.03182
20	11	5	0	0
2	2	0	2	1.61951
12	6	2	4	1.95905
17	9	4	3	1.34742
16	8	3	5	1.86388
20	11	5	0	0
2	2	0	2	1.64975
12	6	2	4	1.9768
17	9	4	3	1.59622
16	8	3	5	1.86559
20	11	5	0	0
1	1	0	1	1.22358
5	4	1	3	1.69891
15	8	3	5	1.64125
20	11	5	0	1.38821
1	1	0	1	1.66752
5	4	1	3	1.69273
13	7	3	2	1.60266
9	5	2	2	1.66942
11	6	2	4	1.60189
18	10	4	5	1.57465
19	11	5	0	0.43885
1	1	0	1	1.51368
5	4	1	3	1.66269
15	8	3	5	1.60424
20	11	5	0	1.37765
1	1	0	1	1.67932
5	4	1	3	1.6889
15	8	3	5	1.59877
20	11	5	0	1.39824
1	1	0	1	1.67912
5	4	1	3	1.68657
13	7	3	2	1.59247
9	5	2	2	1.67016
7	5	2	2	1.60157
7	5	2	2	1.56717
11	6	2	4	1.65256
17	9	4	3	1.564
16	8	3	5	2.31281
20	11	5	0	0
1	1	0	1	0.933043
4	3	1	1	1.70645
3	3	1	1	1.39416
6	4	1	3	0
15	8	3	5	1.65947
20	11	5	0	1.40481
2	2	0	2	1.67104
8	5	2	2	0.304401
11	6	2	4	1.57544
17	9	4	3	1.55084
16	8	3	5	2.31343
20	11	5	0	0
1	1	0	1	0.942028
5	4	1	3	1.70665
13	7	3	2	1.65179
10	6	2	4	1.65918
18	10	4	5	1.49961
19	11	5	0	0.519868
2	2	0	2	1.67192
8	5	2	2	0.338504
11	6	2	4	1.58379
18	10	4	5	1.55206
19	11	5	0	0.429734
2	2	0	2	1.66233
8	5	2	2	0.31178
11	6	2	4	1.59193
18	10	4	5	1.55171
19	11	5	0	0.430358
2	2	0	2	1.66235
12	6	2	4	1.91355
18	10	4	5	1.35839
19	11	5	0	0.951531
1	1	0	1	1.5531
5	4	1	3	1.6768
13	7	3	2	1.59352
9	5	2	2	1.67274
7	5	2	2	1.60152
7	5	2	2	1.56759
7	5	2	2	1.65249
11	6	2	4	1.63493
17	9	4	3	1.56901
14	7	3	2	0.964543
10	6	2	4	1.67169
18	10	4	5	1.53017
19	11	5	0	0.480842
2	2	0	2	1.66773
12	6	2	4	1.9337
18	10	4	5	1.36026
19	11	5	0	0.935904
1	1	0	1	1.55199
4	3	1	1	1.67668
3	3	1	1	0.467592
3	3	1	1	1.53823
6	4	1	3	0
15	8	3	5	1.6584
20	11	5	0	1.39519
2	2	0	2	1.67591
12	6	2	4	1.92052
18	10	4	5	1.34603
19	11	5	0	0.805072
1	1	0	1	1.53555
5	4	1	3	1.67609
15	8	3	5	1.59428
20	11	5	0	1.39143
1	1	0	1	1.67883
4	3	1	1	1.68627
3	3	1	1	0.810302
