2	2	0	2	0.537294
8	5	2	2	0.271291
7	5	2	2	0.335175
7	5	2	2	0.324863
7	5	2	2	0
7	5	2	2	0
7	5	2	2	0
11	6	2	4	0.30215
17	9	4	3	0
14	7	3	2	0.310706
10	6	2	4	0.311701
17	9	4	3	0
14	7	3	2	0.367287
10	6	2	4	0.605811
18	10	4	5	0.611627
19	11	5	0	0
2	2	0	2	0.600154
8	5	2	2	0.30367
11	6	2	4	0.507429
17	9	4	3	0.320132
16	8	3	5	0.429376
20	11	5	0	0
1	1	0	1	0
4	3	1	1	0.362267
3	3	1	1	0.283513
3	3	1	1	0.263384
6	4	1	3	0.325839
15	8	3	5	0.299407
20	11	5	0	0
1	1	0	1	0.278493
4	3	1	1	0.323877
3	3	1	1	0.269911
3	3	1	1	0
6	4	1	3	0.583727
13	7	3	2	0.388318
10	6	2	4	0.445417
17	9	4	3	0.284723
14	7	3	2	0.368288
10	6	2	4	0.335653
18	10	4	5	0.59249
19	11	5	0	0
2	2	0	2	0.58902
12	6	2	4	0.426628
18	10	4	5	0.401464
19	11	5	0	0
1	1	0	1	0.263145
5	4	1	3	0.396354
15	8	3	5	0.264012
20	11	5	0	0
1	1	0	1	0.277891
4	3	1	1	0.33023
6	4	1	3	0.390929
13	7	3	2	0.371577
10	6	2	4	0.366734
17	9	4	3	0.309874
16	8	3	5	0.340088
20	11	5	0	0
1	1	0	1	0.262583
4	3	1	1	0.349371
6	4	1	3	0.401981
15	8	3	5	0.375919
20	11	5	0	0
2	2	0	2	0.259154
8	5	2	2	0.287798
7	5	2	2	0.364926
7	5	2	2	0.337653
7	5	2	2	0
7	5	2	2	0
7	5	2	2	0.252808
11	6	2	4	0.289744
17	9	4	3	0
14	7	3	2	0.31167
10	6	2	4	0.29751
18	10	4	5	0.601054
19	11	5	0	0
2	2	0	2	0.61026
12	6	2	4	0.429
17	9	4	3	0.390851
14	7	3	2	0.3592
10	6	2	4	0
17	9	4	3	0.256105
16	8	3	5	0.40821
20	11	5	0	0
2	2	0	2	0.255461
8	5	2	2	0.311353
7	5	2	2	0.315312
11	6	2	4	0.336403
18	10	4	5	0.726579
19	11	5	0	0.413262
2	2	0	2	0
12	6	2	4	0.458075
18	10	4	5	0.39641
19	11	5	0	0
2	2	0	2	0.29118
8	5	2	2	0.408972
7	5	2	2	0.968972
7	5	2	2	0.385597
11	6	2	4	0.29022
17	9	4	3	0
14	7	3	2	0.352388
10	6	2	4	0.276961
17	9	4	3	0
16	8	3	5	0.372115
20	11	5	0	0
2	2	0	2	0.253551
8	5	2	2	0.311653
7	5	2	2	0.315486
11	6	2	4	0.327899
17	9	4	3	0
14	7	3	2	0.321253
10	6	2	4	0.289473
17	9	4	3	0
16	8	3	5	0.375965
20	11	5	0	0
1	1	0	1	0.295133
4	3	1	1	0.360015
3	3	1	1	0.27684
6	4	1	3	0.518482
13	7	3	2	0.406249
9	5	2	2	0.971881
11	6	2	4	0.679733
18	10	4	5	0.712477
19	11	5	0	0.327763
2	2	0	2	0
12	6	2	4	0.448321
17	9	4	3	0.345984
16	8	3	5	0.474918
20	11	5	0	0
1	1	0	1	0.533254
4	3	1	1	0.347442
3	3	1	1	0.272839
3	3	1	1	0.317514
3	3	1	1	0.258025
6	4	1	3	0.332397
15	8	3	5	0
20	11	5	0	0
2	2	0	2	0.253716
8	5	2	2	0.303282
11	6	2	4	0.390298
18	10	4	5	0.732574
19	11	5	0	0.289997
